canonical_book_id,reader_count,title,author,isbn,pages,publication_year,description,cover_url,openlibrary_work_id,openlibrary_edition_id,identity_method,identity_confidence,subjects,subject_people,subject_places,subject_times
book_e43c16396a52a705,3,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,1635575583,626.0,"Mon, 16 Mar 2026 17:19:08 -0700","The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas's spellbinding A Court of Thorns and Roses .<br /><br />Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.<br /><br />As her marriage to Tamlin approaches, Feyre's hollowness and nightmares consume her. She finds herself split into two different one who upholds her bargain with Rhysand, High Lord of the feared Night Court, and one who lives out her life in the Spring Court with Tamlin. While Feyre navigates a dark web of politics, passion, and dazzling power, a greater evil looms. She might just be the key to stopping it, but only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future-and the future of a world in turmoil.<br /><br />Bestselling author Sarah J. Maas's masterful storytelling brings this second book in her dazzling, sexy, action-packed series to new heights.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620325671l/50659468._SY475_.jpg,OL17860744W,OL29858944M,openlibrary_work,high,"[""Fantasy"", ""Fiction"", ""Fairies"", ""Blessing and cursing"", ""Fantasy fiction"", ""Fairies, fiction"", ""nyt:young-adult-hardcover=2016-05-22"", ""New York Times bestseller"", ""nyt:young-adult-e-book=2016-05-22"", ""collectionID:TexChallenge2021"", ""collectionID:KellerChallenge"", ""collectionID:EanesChallenge"", ""collectionID:AlpineChallenge"", ""Adaptations"", ""Magic"", ""Courts and courtiers"", ""Fées"", ""Romans, nouvelles, etc. pour la jeunesse"", ""Cours et courtisans"", ""Fantasy & Magic"", ""Love & Romance"", ""Action & Adventure"", ""General"", ""series:A_Court_of_Thorns_and_Roses"", ""Children's fiction""]","[""Tam Lin (Legendary character)"", ""Nesta Archeron"", ""Rhysand"", ""Lucien Vanserra"", ""Tamlin"", ""Elain Archeron"", ""Feyre Archeron"", ""Azriel"", ""Cassian"", ""Morrigan""]","[""Prythian""]",[]
book_0c5332017a5ef7ef,3,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,1635575567,419.0,"Fri, 13 Mar 2026 14:51:37 -0700","When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.<br /><br />At least, he’s not a beast all the time.<br /><br />As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin—and his world—forever.<br /><br />From bestselling author Sarah J. Maas comes a seductive, breathtaking book that blends romance, adventure, and faerie lore into an unforgettable read.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329l/50659467._SY475_.jpg,OL17352669W,OL29858947M,openlibrary_work,high,"[""Fantasy"", ""Love"", ""Blessing and cursing"", ""Fairies"", ""Children's audiobooks"", ""Fiction"", ""Juvenile fiction"", ""Love stories"", ""Children's fiction"", ""Love, fiction"", ""Fantasy fiction"", ""Fairies, fiction"", ""nyt:young-adult=2015-05-24"", ""New York Times bestseller"", ""nyt:young-adult-paperback=2016-05-22"", ""collectionID:EanesChallenge"", ""collectionID:AlpineChallenge"", ""collectionID:ConroeChallenge"", ""Magic"", ""Man-woman relationships"", ""Älvor"", ""Kärlek"", ""Young adult fiction"", ""Teen fiction"", ""Juvenile works"", ""Young adult works"", ""Magi"", ""series:A_Court_of_Thorns_and_Roses"", ""Faerie"", ""Romance"", ""Courts ect."", ""Shipping"", ""Taxation"", ""Commerce"", ""Drum machine"", ""Sequencer (Musical instrument)""]","[""Nesta Archeron"", ""Tamlin"", ""Feyre Archeron"", ""Lucien Vanserra"", ""Elain Archeron"", ""Rhysand"", ""Amarantha""]","[""Prythian""]",[]
book_9b7e9310c31df95b,3,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,1635575605,699.0,"Fri, 20 Mar 2026 06:16:55 -0700","<b>The epic third novel in the #1 bestselling Court of Thorns and Roses series by global phenomenon Sarah J. Maas.</b><br /><br />Feyre has returned to the Spring Court, determined to gather information on Tamlin's actions and learn what she can about the invading king threatening to bring her land to its knees. But to do so she must play a deadly game of deceit. One slip could bring doom not only for Feyre, but for everything-and everyone-she holds dear.<br /><br />As war bears down upon them all, Feyre endeavors to take her place amongst the High Fae of the land, balancing her struggle to master her powers-both magical and political-and her love for her court and family. Amidst these struggles, Feyre and Rhysand must decide whom to trust amongst the cunning and lethal High Lords, and hunt for allies in unexpected places.<br /><br />In this thrilling third book in the #1 bestselling series from Sarah J. Maas, the fate of Feyre's world is at stake as armies grapple for power over the one thing that could destroy it.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585623092l/50659472.jpg,OL17823218W,OL29858946M,openlibrary_work,high,"[""War stories"", ""Fairy tales"", ""Fantasy fiction"", ""Women spies"", ""Spy stories"", ""Fiction"", ""Children's fiction"", ""Fairies, fiction"", ""nyt:series-books=2017-05-21"", ""New York Times bestseller"", ""Fairies"", ""Fantasy"", ""Spies"", ""collectionID:EanesChallenge"", ""Juvenile fiction"", ""Deception"", ""Imaginary wars and battles"", ""collectionID:AlpineChallenge"", ""series:A_Court_of_Thorns_and_Roses""]","[""Nesta Archeron"", ""Rhysand"", ""Lucien Vanserra"", ""Tamlin"", ""Elain Archeron"", ""Feyre Archeron"", ""Azriel"", ""Cassian""]","[""Prythian""]",[]
book_1603e89892336d3b,3,"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,168119628X,757.0,"Sun, 14 Jun 2026 23:34:27 -0700","<b>Sarah J. Maas's sexy, richly imagined series continues with the journey of Feyre's fiery sister, Nesta.</b><br /><br />Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.<br /><br />The one person who ignites her temper more than any other is Cassian, the battle-scarred warrior whose position in Rhysand and Feyre's Night Court keeps him constantly in Nesta's orbit. But her temper isn't the only thing Cassian ignites. The fire between them is undeniable, and only burns hotter as they are forced into close quarters with each other.<br /><br />Meanwhile, the treacherous human queens who returned to the Continent during the last war have forged a dangerous new alliance, threatening the fragile peace that has settled over the realms. And the key to halting them might very well rely on Cassian and Nesta facing their haunting pasts.<br /><br />Against the sweeping backdrop of a world seared by war and plagued with uncertainty, Nesta and Cassian battle monsters from within and without as they search for acceptance-and healing-in each other's arms.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1734440950l/53138095._SY475_.jpg,OL21703979W,OL29889699M,openlibrary_work,high,"[""Fiction, romance, fantasy"", ""Fiction, fantasy, epic"", ""Fiction, fantasy, romance"", ""nyt:combined-print-and-e-book-fiction=2021-03-07"", ""New York Times bestseller"", ""collectionID:EanesChallenge"", ""collectionID:AlpineChallenge"", ""nyt:trade-fiction-paperback=2022-09-25"", ""series:A_Court_of_Thorns_and_Roses"", ""Imaginary wars and battles"", ""Fiction"", ""Women spies"", ""Fairies"", ""Magic"", ""Courts and courtiers"", ""FICTION / Fantasy / Romantic"", ""FICTION / Fantasy / Action & Adventure"", ""FICTION / Romance / Fantasy"", ""Monsters""]","[""Nesta Archeron"", ""Rhysand"", ""Feyre Archeron"", ""Azriel"", ""Cassian""]","[""Prythian""]",[]
book_4387560b1141d752,3,"First-Time Caller (Heartstrings, #1)",B.K. Borison,0593641191,422.0,"Sun, 01 Mar 2026 17:16:07 -0800","<b>A hopeless romantic meets a demoralized radio host in this cozy, <i>Sleepless in Seattle</i>-inspired love story.</b><br /><br /><b>Aiden Valentine</b> has a secret: he's fallen out of love with love. And as the host of Baltimore's romance hotline, that's a bit of a problem. But when a young girl calls in to the station asking for dating advice for her mom, the interview goes viral, thrusting Aiden and <i>Heartstrings</i> into the limelight.<br /><br /><b>Lucie Stone</b> thought she was doing just fine. She has a good job; an incredible family; and a smart, slightly devious kid. But when all of Baltimore is suddenly scrutinizing her love life—or lack thereof—she begins to question if she's as happy as she believed. Maybe a little more romance wouldn't be such a bad thing.<br /><br />Everyone wants Lucie to find her happy ending...even the handsome, temperamental man calling the shots. But when sparks start to fly behind the scenes, Lucie must make the final decision between the radio-sponsored happily ever after or the man in the headphones next to her.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1718283728l/213243908._SY475_.jpg,OL42397881W,OL57571650M,openlibrary_work,high,"[""American literature"", ""Romance"", ""Contemporary"", ""Contemporary Romance"", ""Fiction"", ""Adult"", ""Friends To Lovers"", ""Forced Proximity"", ""Rom Com""]","[""Lucie Stone"", ""Aiden Valentine"", ""Grayson Harris"", ""Jackson Clark"", ""Maggie Lin""]",[],[]
book_89fb96b30a5389e4,3,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,1649374178,623.0,"Sun, 08 Feb 2026 11:34:09 -0800","Everyone expected Violet Sorrengail to die during her first year at Basgiath War College—Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky. Now the real training begins, and Violet’s wondering how she’ll get through it. It’s not just that it’s grueling and maliciously brutal, or even that it’s designed to stretch the riders’ capacity for pain beyond endurance. It’s the new vice commandant, who’s made it his personal mission to teach Violet exactly how powerless she is—unless she betrays the man she loves.<br /><br />Although Violet’s body is weaker and frailer than everyone else’s, she has her wits—and a will of iron. Leadership forgets the most important lesson Basgiath taught her: Dragon riders make their own rules. But determination to survive won’t be enough this year, because Violet knows the secret hidden for centuries at Basgiath War College—and nothing, not even dragon fire, may be enough to save them in the end.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706724269l/90202302._SY475_.jpg,OL34028551W,OL61227378M,openlibrary_work,high,"[""nyt:combined-print-and-e-book-fiction=2023-11-26"", ""New York Times bestseller"", ""Fiction, fantasy, action & adventure"", ""Fiction, fantasy, dragons & mythical creatures"", ""Fiction, fantasy, epic"", ""Serie:The_Empyrean""]",[],[],[]
book_9fbfd52ea619da84,3,People We Meet on Vacation,Emily Henry,0241997038,365.0,"Thu, 19 Feb 2026 20:46:47 -0800","<i>TWO FRIENDS<br />TEN TRIPS</i><br /><b>
  <i>THEIR LAST CHANCE TO FALL IN LOVE</i>
</b><br /><br />12 YEARS Poppy and Alex meet. They hate each other, and are pretty confident they'll never speak again.<br /><br />11 YEARS They're forced to share a ride home from college and by the end of it a friendship is formed. And a every year, one vacation together.<br /><br />10 YEARS Alex discovers his fear of flying on the way to Vancouver.<br />Poppy holds his hand the whole way.<br /><br />7 YEARS They get far too drunk and narrowly avoid getting matching tattoos in New Orleans.<br /><br />2 YEARS It all goes wrong.<br /><br /><b>THIS </b><b>Poppy asks Alex to join her on one last trip. A trip that will determine the rest of their lives.</b>",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646849976l/60581725._SY475_.jpg,OL22563730W,,openlibrary_work,high,"[""nyt:combined-print-and-e-book-fiction=2021-05-30"", ""New York Times bestseller"", ""Fiction, romance, contemporary"", ""Fiction, women"", ""American literature""]",[],[],[]
book_ebb9c7ab3c185f7c,3,Remarkably Bright Creatures,Shelby Van Pelt,0063204150,360.0,"Fri, 13 Feb 2026 21:56:06 -0800","<b><i>Remarkably Bright Creatures</i>, an exploration of friendship, reckoning, and hope, tracing a widow's unlikely connection with a giant Pacific octopus</b>.<br /><br />After Tova Sullivan's husband died, she began working the night shift at the Sowell Bay Aquarium, mopping floors and tidying up. Keeping busy has always helped her cope, which she's been doing since her eighteen-year-old son, Erik, mysteriously vanished on a boat in Puget Sound over thirty years ago.<br /><br />Tova becomes acquainted with curmudgeonly Marcellus, a giant Pacific octopus living at the aquarium. Marcellus knows more than anyone can imagine but wouldn't dream of lifting one of his eight arms for his human captors--until he forms a remarkable friendship with Tova.<br /><br />Ever the detective, Marcellus deduces what happened the night Tova's son disappeared. And now Marcellus must use every trick his old invertebrate body can muster to unearth the truth for her before it's too late.<br /><br />Shelby Van Pelt's <strong>debut novel</strong> is a gentle reminder that sometimes taking a hard look at the past can help uncover a future that once felt impossible.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651600548l/58733693._SY475_.jpg,OL25382083W,OL34018342M,openlibrary_work,high,"[""nyt:hardcover-fiction=2022-05-22"", ""New York Times bestseller"", ""Octopuses"", ""Fiction"", ""Widows"", ""Human-animal relationships"", ""Mothers and sons"", ""Missing persons"", ""Investigation"", ""Poulpes"", ""Romans, nouvelles"", ""Veuves"", ""Relations homme-animal"", ""Mères et fils"", ""Personnes disparues"", ""Enquêtes"", ""Animal behavior"", ""Mother-son relationship"", ""Fiction, family life, general"", ""Fiction, animals""]",[],[],[]
book_2b8c06656979afd1,3,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,0670069019,480.0,"Fri, 06 Jan 2017 13:12:53 -0800","Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.<br /><br />An international publishing sensation, Stieg Larsson’s The Girl with the Dragon Tattoo combines murder mystery, family saga, love story, and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853l/2429135.jpg,OL5784622W,OL32362183M,openlibrary_work,high,"[""Fiction: Literature"", ""Novels"", ""Misogyny"", ""rape"", ""Book of Leviticus"", ""child sexual abuse"", ""finance"", ""secrecy"", ""aristocracy"", ""heiresses"", ""tattooing"", ""upper class"", ""industrialists"", ""Detective"", ""Mystery"", ""punk"", ""woman"", ""crime"", ""murder"", ""sex"", ""investigate"", ""death"", ""revenge"", ""justice"", ""trilogy"", ""Journalists Sweden Stockholm Fiction"", ""Missing persons Investigation Sweden Oland Fiction"", ""Computer hackers Sweden Stockholm Fiction"", ""mystery fiction"", ""21st Century Film and Literature"", ""Gender and Violence"", ""Scandinavian comparative literature"", ""women's and gender studies"", ""comparative literature"", ""thriller"", ""crime fiction"", ""Family secrets"", ""Fiction"", ""Investigation"", ""Missing persons"", ""Rich people"", ""Hackers"", ""nyt:combined_print_fiction=2012-03-03"", ""Suspense fiction"", ""Corruption"", ""New York Times bestseller"", ""Computer hackers"", ""Journalists"", ""Lisbeth Salander (Fictitious character)"", ""Mikael Blomqvist (Fictitious character)"", ""Swedish fiction"", ""Disappeared persons"", ""Reading Level-Grade 9"", ""Reading Level-Grade 11"", ""Reading Level-Grade 10"", ""Reading Level-Grade 12"", ""Reading materials"", ""Ética"", ""Spanish language materials"", ""Spanish language"", ""Novela"", ""Rich"", ""Personas desaparecidas"", ""Clase alta"", ""Journalists, fiction"", ""Fiction, suspense"", ""Missing persons, fiction"", ""Stockholm (sweden), fiction"", ""Large type books"", ""Mikael Blomkvist (Fictitious character)"", ""Internet Archive Wishlis"", ""Translations into English"", ""Families"", ""Fictional Works"", ""Fiction, thrillers, suspense"", ""Women private investigators"", ""Mikael Blomkvist"", ""Lisbeth"", ""Investigative reporting"", ""Romans, nouvelles"", ""Journalistes"", ""Journalisme d'enquête"", ""Personnes disparues"", ""Enquêtes"", ""German language materials"", ""Junge Frau"", ""Belletristische Darstellung"", ""Verschwinden"", ""Journalist"", ""Aufklärung <Kriminologie>"", ""Familie"", ""Sexueller Missbrauch"", ""Faschismus"", ""Kriminalfall"", ""Aufklärung"", ""Kriminalroman"", ""Schwedisch"", ""Kriminalliteratur"", ""Text"", ""Fiction, mystery & detective, general""]","[""Fictitious characters: Lisbeth Salander"", ""Mikhael Blomkvist"", ""Erika Berger"", ""Holger Palmgrem"", ""Henrik Vanger"", ""Harriet Vanger"", ""Martin Vanger"", ""Gottfried Vanger"", ""Isabella Vanger"", ""Cecilia Vanger"", ""Anita Vanger"", ""Birger Vanger"", ""Harald Vanger"", ""Hans-Erik Wennerström"", ""Robert Lindberg"", ""William Borg"", ""Monica Abrahamsson"", ""Pernilla Abrahamsson"", ""Nils Bjurman"", ""Dirch Frode"", ""Dragan Armansky"", ""Plague"", ""Christer Malm"", ""Janne Dahlman"", ""Gustaf Morell"", ""Anna Nygren"", ""Gunnar Nilsson""]","[""Sweden"", ""Stockholm"", ""Hedeby Island"", ""Australia"", ""Miami"", ""Marbella"", ""Spain"", ""Stockholm (Sweden)""]","[""21st century""]"
book_c26e36ad07272ab3,3,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,,393.0,"Fri, 07 May 2021 21:59:39 -0700","<b>A magical island. A dangerous task. A burning secret.</b> <br /><br />Linus Baker leads a quiet, solitary life. At forty, he lives in a tiny house with a devious cat and his old records. As a Case Worker at the Department in Charge of Magical Youth, he spends his days overseeing the well-being of children in government-sanctioned orphanages. <br /><br />When Linus is unexpectedly summoned by Extremely Upper Management he's given a curious and highly classified assignment: travel to Marsyas Island Orphanage, where six dangerous children reside: a gnome, a sprite, a wyvern, an unidentifiable green blob, a were-Pomeranian, and the Antichrist. Linus must set aside his fears and determine whether or not they’re likely to bring about the end of days. <br /><br />But the children aren’t the only secret the island keeps. Their caretaker is the charming and enigmatic Arthur Parnassus, who will do anything to keep his wards safe. As Arthur and Linus grow closer, long-held secrets are exposed, and Linus must make a choice: destroy a home or watch the world burn. <br /><br />An enchanting story, masterfully told, <i>The House in the Cerulean Sea</i> is about the profound experience of discovering an unlikely family in an unexpected place—and realizing that family is yours.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569514209l/45047384._SY475_.jpg,OL20656224W,,openlibrary_work,high,"[""Serie:Cerulean_Chronicles"", ""American literature"", ""nyt:trade-fiction-paperback=2021-01-17"", ""New York Times bestseller"", ""LGBTQ science fiction & fantasy"", ""LGBTQ young adult"", ""Fiction, fantasy, paranormal"", ""Fiction, occult & supernatural"", ""Magic"", ""Fiction"", ""Orphans"", ""Children"", ""Orphanages"", ""Institutional care"", ""Social workers"", ""Mythical animals"", ""FICTION / Fantasy / Contemporary"", ""FICTION / Fantasy / Humorous"", ""FICTION / Fantasy / Romantic"", ""End of the world""]","[""Linus Baker"", ""Arthur Parnassus""]","[""Marsyas Island""]",[]
book_e5ed67fd4e36755f,3,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,1501171348,307.0,"Tue, 10 Feb 2026 19:17:12 -0800","A Goodreads Top 20 Book of the Last 5 Years<br />Don’t miss the #1 New York Times bestselling blockbuster and Reese Witherspoon Book Club Pick that’s sold over 5 million copies<br /><br />Before Owen Michaels disappears, he smuggles a note to his beloved wife of one year: Protect her. Despite her confusion and fear, Hannah Hall knows exactly to whom the note refers—Owen’s sixteen-year-old daughter, Bailey. Bailey, who lost her mother tragically as a child. Bailey, who wants absolutely nothing to do with her new stepmother.<br /><br />As Hannah’s increasingly desperate calls to Owen go unanswered, as the FBI arrests Owen’s boss, as a US marshal and federal agents arrive at her Sausalito home unannounced, Hannah quickly realizes her husband isn’t who he said he was. And that Bailey just may hold the key to figuring out Owen’s true identity—and why he really disappeared.<br /><br />Hannah and Bailey set out to discover the truth. But as they start putting together the pieces of Owen’s past, they soon realize they’re also building a new future—one neither of them could have anticipated.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603034599l/54981009.jpg,OL24161797W,OL31887801M,openlibrary_work,high,"[""nyt:combined-print-and-e-book-fiction=2021-05-23"", ""New York Times bestseller"", ""Missing persons, fiction"", ""Fiction, family life"", ""Fiction, women"", ""Fiction, thrillers, general"", ""nyt:trade-fiction-paperback=2023-04-09"", ""Missing persons"", ""Investigation"", ""Fiction"", ""Secrecy"", ""Stepdaughters"", ""Families"", ""Thrillers"", ""Suspense"", ""Women"", ""Family Life"", ""General"", ""Stepfamilies""]",[],[],[]
book_40dafb324311372c,3,The Love Hypothesis,Ali Hazelwood,0593336828,373.0,"Sun, 08 Feb 2026 11:00:03 -0800","<b>When a fake relationship between scientists meets the irresistible force of attraction, it throws one woman's carefully calculated theories on love into chaos</b><br /><br />As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships—but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees.<br /><br />That man is none other than Adam Carlsen, a young hotshot professor—and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. And when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding. . . six-pack abs.<br /><br />Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1747519081l/56732449._SY475_.jpg,OL24178205W,OL31917995M,openlibrary_work,high,"[""American literature"", ""New York Times bestseller"", ""Romantic fiction"", ""rom-com"", ""romance"", ""College Life"", ""Women authors"", ""women in STEM"", ""Contemporary Romance"", ""Contemporary"", ""Fiction"", ""Adult"", ""New Adult"", ""Young adults""]",[],[],[]
book_78f9698ad059050a,3,"The Midnight Library (The Midnight World, #1)",Matt Haig,0525559477,288.0,"Tue, 07 Apr 2026 15:42:54 -0700","Between life and death there is a library.<br /><br />When Nora Seed finds herself in the Midnight Library, she has a chance to make things right. Up until now, her life has been full of misery and regret. She feels she has let everyone down, including herself. But things are about to change.<br /><br />The books in the Midnight Library enable Nora to live as if she had done things differently. With the help of an old friend, she can now undo every one of her regrets as she tries to work out her perfect life. But things aren't always what she imagined they'd be, and soon her choices place the library and herself in extreme danger.<br /><br />Before time runs out, she must answer the ultimate question: what is the best way to live?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602190253l/52578297.jpg,OL20965973W,OL61174737M,openlibrary_work,high,"[""nyt:combined-print-and-e-book-fiction=2020-10-18"", ""New York Times bestseller"", ""New York Times reviewed"", ""Fiction, science fiction, general"", ""Fiction, fantasy, general"", ""Future life"", ""Fiction"", ""Regret"", ""Choice (Psychology)"", ""Libraries"", ""Decision making"", ""Vie future"", ""Romans, nouvelles"", ""Choix (Psychologie)"", ""Bibliothèques"", ""Prise de décision"", ""Literary"", ""FICTION / Science Fiction / Time Travel"", ""FICTION / Women"", ""FICTION / Literary"", ""nyt:trade-fiction-paperback=2023-05-28""]",[],[],[]
book_a16de6405c62e340,3,Untamed,Glennon Doyle,1984801252,333.0,"Tue, 12 May 2020 15:45:42 -0700","Soulful and uproarious, forceful and tender, <i>Untamed</i> is both an intimate memoir and a galvanizing wake-up call. It is the story of how one woman learned that a responsible mother is not one who slowly dies for her children, but one who shows them how to fully live. It is the story of navigating divorce, forming a new blended family, and discovering that the brokenness or wholeness of a family depends not on its structure but on each member’s ability to bring her full self to the table. And it is the story of how each of us can begin to trust ourselves enough to set boundaries, make peace with our bodies, honor our anger and heartbreak, and unleash our truest, wildest instincts so that we become women who can finally look at ourselves and say: There She Is.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585832694l/52129515.jpg,OL20652361W,OL27925867M,openlibrary_work,high,"[""Women, united states, biography"", ""Christian women"", ""Christian life"", ""Happiness"", ""nyt:combined-print-and-e-book-nonfiction=2020-03-29"", ""New York Times bestseller"", ""LGBTQ biography and memoir""]","[""Glennon Doyle Melton (1976-)""]",[],[]
book_71ef049a203b81e9,2,"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,1635575621,272.0,"Sat, 06 Jun 2026 08:54:49 -0700","Feyre, Rhysand, and their friends are still busy rebuilding the Night Court and the vastly altered world beyond, recovering from the war that changed everything. But Winter Solstice is finally approaching, and with it, the joy of a hard-earned reprieve. <br /><br />Yet even the festive atmosphere can't keep the shadows of the past from looming. As Feyre navigates her first Winter Solstice as High Lady, her concern for those dearest to her deepens. They have more wounds than she anticipated-scars that will have a far-reaching impact on the future of their court. <br /><br />Bridging the events of <i>A Court of Wings and Ruin</i> with the later books in the series, <i>A Court of Frost and Starlight</i> explores the far-reaching effects of a devastating war and the fierce love between friends.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585622963l/50659471.jpg,OL19655889W,OL29858945M,openlibrary_work,high,"[""Children's fiction"", ""Fantasy fiction"", ""Courts and courtiers"", ""Fiction"", ""Imaginary wars and battles"", ""Winter solstice"", ""Fairies"", ""Love, fiction"", ""Fairies, fiction"", ""Magic"", ""Fantasy & Magic"", ""Fantasy"", ""Young adult literature"", ""collectionID:EanesChallenge"", ""Courts and courtiers, fiction"", ""nyt:combined-print-and-e-book-fiction=2024-04-28"", ""New York Times bestseller"", ""collectionID:AlpineChallenge"", ""series:A_Court_of_Thorns_and_Roses"", ""Tam Lin (Legendary character)"", ""Adaptations"", ""Juvenile fiction""]","[""Rhysand"", ""Feyre Archeron""]","[""Prythian""]",[]
book_7972f2b30cec2ac0,2,A Flicker in the Dark,Stacy Willingham,1250803845,384.0,"Wed, 22 Apr 2026 01:12:53 -0700","When Chloe Davis was twelve, six teenage girls went missing in her small Louisiana town. By the end of the summer, her own father had confessed to the crimes and was put away for life, leaving Chloe and the rest of her family to grapple with the truth and try to move forward while dealing with the aftermath.<br /><br />Now twenty years later, Chloe is a psychologist in Baton Rouge and getting ready for her wedding. While she finally has a fragile grasp on the happiness she’s worked so hard to achieve, she sometimes feels as out of control of her own life as the troubled teens who are her patients. So when a local teenage girl goes missing, and then another, that terrifying summer comes crashing back. Is she paranoid, seeing parallels from her past that aren't actually there, or for the second time in her life, is Chloe about to unmask a killer?<br /><br />From debut author Stacy Willingham comes a masterfully done, lyrical thriller, certain to be the launch of an amazing career. A Flicker in the Dark is eerily compelling to the very last page.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666573811l/59808291.jpg,OL24592608W,OL36664539M,openlibrary_work,high,"[""nyt:hardcover-fiction=2022-01-30"", ""New York Times bestseller"", ""Fiction, thrillers, psychological"", ""Baton rouge (la.), fiction"", ""Fiction, mystery & detective, women sleuths""]",[],[],[]
